"","Frag.ID","Timepoint","Date","Treatment","Temperature","T.T","Weight","Temp","Salinity","sw_dens","skel_dens","dry_weight.g"
"1","M-1-1",0,"7/20/2023","C","AMB","C-AMB",9.34,26.4,53.1,1.03663275902499,2.93,14.4537200220637
"2","M-1-10",0,"7/20/2023","I","HEAT","I-HEAT",8.349,25.1,53,1.03698865967124,2.93,12.9225691779277
"3","M-1-11",0,"7/20/2023","G","AMB","G-AMB",9.389,26.4,53.1,1.03663275902499,2.93,14.5295478894171
"4","M-1-12",0,"7/20/2023","G","AMB","G-AMB",8.708,26.4,53.1,1.03663275902499,2.93,13.475695283954
"5","M-1-15",0,"7/20/2023","G","HEAT","G-HEAT",8.647,25.1,53,1.03698865967124,2.93,13.3838131131322
"6","M-1-16",0,"7/20/2023","E","AMB","E-AMB",10.252,26.4,53.1,1.03663275902499,2.93,15.8650468593358
"7","M-1-17",0,"7/20/2023","E","AMB","E-AMB",8.36,26.4,53.1,1.03663275902499,2.93,12.9371626749949
"8","M-1-2",0,"7/20/2023","C","AMB","C-AMB",8.604,26.4,53.1,1.03663275902499,2.93,13.3147545042651
"9","M-1-20",0,"7/20/2023","E","HEAT","E-HEAT",8.473,25.1,53,1.03698865967124,2.93,13.1144961845229
"10","M-1-22",0,"7/20/2023","C","HEAT","C-HEAT",8.453,25.1,53,1.03698865967124,2.93,13.0835402157172
"11","M-1-23",0,"7/20/2023","I","HEAT","I-HEAT",8.165,25.1,53,1.03698865967124,2.93,12.6377742649155
"12","M-1-24",0,"7/20/2023","G","HEAT","G-HEAT",7.305,25.1,53,1.03698865967124,2.93,11.3066676062716
"13","M-1-25",0,"7/20/2023","E","HEAT","E-HEAT",8.794,25.1,53,1.03698865967124,2.93,13.6113394838539
"14","M-1-5",0,"7/20/2023","C","HEAT","C-HEAT",10.094,25.1,53,1.03698865967124,2.93,15.6234774562226
"15","M-1-6",0,"7/20/2023","I","AMB","I-AMB",8.303,26.4,53.1,1.03663275902499,2.93,12.8489547476654
