"","Frag.ID","Timepoint","Date","Treatment","Temperature","T.T","Weight","Temp","Salinity","sw_dens","skel_dens","dry_weight.g"
"1","P-1-1",0,"7/20/2023","C","AMB","C-AMB",9.556,26.1,53.6,1.0371152739765,2.93,14.791751243521
"2","P-1-10",0,"7/20/2023","I","HEAT","I-HEAT",8.088,25.8,53,1.03675742541763,2.93,12.5170648062505
"3","P-1-11",0,"7/20/2023","G","AMB","G-AMB",9.448,26.1,53.6,1.0371152739765,2.93,14.6245778305553
"4","P-1-12",0,"7/20/2023","G","AMB","G-AMB",9.256,26.1,53.6,1.0371152739765,2.93,14.3273806519496
"5","P-1-15",0,"7/20/2023","G","HEAT","G-HEAT",10.567,25.8,53,1.03675742541763,2.93,16.3535885024294
"6","P-1-16",0,"7/20/2023","E","AMB","E-AMB",8.711,26.1,53.6,1.0371152739765,2.93,13.4837740772616
"7","P-1-17",0,"7/20/2023","E","AMB","E-AMB",8.793,26.1,53.6,1.0371152739765,2.93,13.6107020389577
"8","P-1-2",0,"7/20/2023","C","AMB","C-AMB",7.874,26.1,53.6,1.0371152739765,2.93,12.1881801267774
"9","P-1-20",0,"7/20/2023","E","HEAT","E-HEAT",8.395,25.8,53,1.03675742541763,2.93,12.9921808912553
"10","P-1-22",0,"7/20/2023","C","HEAT","C-HEAT",9.585,25.8,53,1.03675742541763,2.93,14.8338360741729
"11","P-1-23",0,"7/20/2023","I","HEAT","I-HEAT",8.832,25.8,53,1.03675742541763,2.93,13.6684861979234
"12","P-1-24",0,"7/20/2023","G","HEAT","G-HEAT",9.974,25.8,53,1.03675742541763,2.93,15.4358561297654
"13","P-1-25",0,"7/20/2023","E","HEAT","E-HEAT",8.559,25.8,53,1.03675742541763,2.93,13.2459888324305
"14","P-1-5",0,"7/20/2023","C","HEAT","C-HEAT",7.65,25.8,53,1.03675742541763,2.93,11.839211890185
"15","P-1-6",0,"7/20/2023","I","AMB","I-AMB",8.978,26.1,53.6,1.0371152739765,2.93,13.8970639037601
"16","P-1-7",0,"7/20/2023","I","AMB","I-AMB",7.612,26.1,53.6,1.0371152739765,2.93,11.7826298101383
"17","P-2-1",0,"7/20/2023","C","AMB","C-AMB",11.178,26.1,53.6,1.0371152739765,2.93,17.3024482419504
"18","P-2-10",0,"7/20/2023","I","HEAT","I-HEAT",11.306,25.8,53,1.03675742541763,2.93,17.4972718471152
"19","P-2-11",0,"7/20/2023","G","AMB","G-AMB",11.745,26.1,53.6,1.0371152739765,2.93,18.1801086600203
"20","P-2-12",0,"7/20/2023","G","AMB","G-AMB",10.961,26.1,53.6,1.0371152739765,2.93,16.9665535140471
"21","P-2-15",0,"7/20/2023","G","HEAT","G-HEAT",12.437,25.8,53,1.03675742541763,2.93,19.2476180755857
"22","P-2-16",0,"7/20/2023","E","AMB","E-AMB",10.411,26.1,53.6,1.0371152739765,2.93,16.1152074294995
"23","P-2-17",0,"7/20/2023","E","AMB","E-AMB",10.407,26.1,53.6,1.0371152739765,2.93,16.1090158216119
"24","P-2-2",0,"7/20/2023","C","AMB","C-AMB",10.074,26.1,53.6,1.0371152739765,2.93,15.5935644649676
"25","P-2-20",0,"7/20/2023","E","HEAT","E-HEAT",13.67,25.8,53,1.03675742541763,2.93,21.155820462592
"26","P-2-22",0,"7/20/2023","C","HEAT","C-HEAT",11.253,25.8,53,1.03675742541763,2.93,17.4152485490525
"27","P-2-23",0,"7/20/2023","I","HEAT","I-HEAT",9.816,25.8,53,1.03675742541763,2.93,15.1913338449746
"28","P-2-24",0,"7/20/2023","G","HEAT","G-HEAT",11.148,25.8,53,1.03675742541763,2.93,17.2527495623245
"29","P-2-25",0,"7/20/2023","E","HEAT","E-HEAT",13.115,25.8,53,1.03675742541763,2.93,20.2968972470295
"30","P-2-5",0,"7/20/2023","C","HEAT","C-HEAT",12.083,25.8,53,1.03675742541763,2.93,18.6997643489026
"31","P-2-6",0,"7/20/2023","I","AMB","I-AMB",12.555,26.1,53.6,1.0371152739765,2.93,19.4339092572631
"32","P-2-7",0,"7/20/2023","I","AMB","I-AMB",10.119,26.1,53.6,1.0371152739765,2.93,15.6632200537033
"33","P-3-1",0,"7/20/2023","C","AMB","C-AMB",9.873,26.1,53.6,1.0371152739765,2.93,15.2824361686148
"34","P-3-10",0,"7/20/2023","I","HEAT","I-HEAT",12.566,25.8,53,1.03675742541763,2.93,19.4472596878516
"35","P-3-11",0,"7/20/2023","G","AMB","G-AMB",10.702,26.1,53.6,1.0371152739765,2.93,16.5656469033238
"36","P-3-12",0,"7/20/2023","G","AMB","G-AMB",12.416,26.1,53.6,1.0371152739765,2.93,19.2187508831684
"37","P-3-15",0,"7/20/2023","G","HEAT","G-HEAT",12.343,25.8,53,1.03675742541763,2.93,19.1021427922292
"38","P-3-16",0,"7/20/2023","E","AMB","E-AMB",9.54,26.1,53.6,1.0371152739765,2.93,14.7669848119705
"39","P-3-17",0,"7/20/2023","E","AMB","E-AMB",9.758,26.1,53.6,1.0371152739765,2.93,15.1044274418457
"40","P-3-2",0,"7/20/2023","C","AMB","C-AMB",10.328,26.1,53.6,1.0371152739765,2.93,15.9867315658314
"41","P-3-20",0,"7/20/2023","E","HEAT","E-HEAT",12.481,25.8,53,1.03675742541763,2.93,19.3157128890717
"42","P-3-22",0,"7/20/2023","C","HEAT","C-HEAT",9.432,25.8,53,1.03675742541763,2.93,14.5970518363692
"43","P-3-23",0,"7/20/2023","I","HEAT","I-HEAT",11.586,25.8,53,1.03675742541763,2.93,17.93060247839
"44","P-3-24",0,"7/20/2023","G","HEAT","G-HEAT",11.175,25.8,53,1.03675742541763,2.93,17.2945350160545
