Fragment ID,Timepoint,Treatment,Temperature,T-T,dry_mass_mg,dry_mass_g,surface_area_cm2
M-1-21,T0,C,AMB,C-AMB,183.65,0.18365,18.692524
M-2-21,T0,C,AMB,C-AMB,113.15,0.11315,14.628646
M-3-21,T0,C,AMB,C-AMB,149.05,0.14905,20.709448
M-4-21,T0,C,AMB,C-AMB,155.45,0.15545,21.196753
M-5-21,T0,C,AMB,C-AMB,161.6,0.1616,16.927033
M-6-21,T0,C,AMB,C-AMB,195.8,0.1958,18.43099
M-7-21,T0,C,AMB,C-AMB,232.5,0.2325,28.450636
M-8-21,T0,C,AMB,C-AMB,104.8,0.1048,14.698534
M-9-21,T0,C,AMB,C-AMB,210.45,0.21045,25.216951
M-1-13,T1,G,AMB,G-AMB,137.85,0.13785,24.829837
M-2-13,T1,G,AMB,G-AMB,101,0.101,15.602164
M-3-13,T1,G,AMB,G-AMB,158.95,0.15895,19.079365
M-4-13,T1,G,AMB,G-AMB,188.35,0.18835,23.218318
M-5-13,T1,G,AMB,G-AMB,77.95,0.07795,13.375576
M-6-13,T1,G,AMB,G-AMB,257.25,0.25725,36.411316
M-7-13,T1,G,AMB,G-AMB,186.8,0.1868,31.0081
M-8-13,T1,G,AMB,G-AMB,235.2,0.2352,35.637088
M-9-13,T1,G,AMB,G-AMB,191.6,0.1916,24.405595
M-1-3,T1,C,AMB,C-AMB,114.45,0.11445,14.693347
M-2-3,T1,C,AMB,C-AMB,264.8,0.2648,27.09055
M-3-3,T1,C,AMB,C-AMB,111.3,0.1113,11.290402
M-4-3,T1,C,AMB,C-AMB,132.4,0.1324,17.44273
M-5-3,T1,C,AMB,C-AMB,90.4,0.0904,11.398237
M-6-3,T1,C,AMB,C-AMB,227.9,0.2279,29.628631
M-7-3,T1,C,AMB,C-AMB,191.15,0.19115,18.791896
M-8-3,T1,C,AMB,C-AMB,192.05,0.19205,21.815098
M-9-3,T1,C,AMB,C-AMB,154.65,0.15465,16.94314
M-1-8,T1,I,AMB,I-AMB,84.1,0.0841,13.042516
M-2-8,T1,I,AMB,I-AMB,199.6,0.1996,23.559841
M-3-8,T1,I,AMB,I-AMB,118.5,0.1185,13.084012
M-4-8,T1,I,AMB,I-AMB,191.9,0.1919,21.657304
M-5-8,T1,I,AMB,I-AMB,178.15,0.17815,19.281658
M-6-8,T1,I,AMB,I-AMB,208.3,0.2083,32.288743
M-7-8,T1,I,AMB,I-AMB,167.95,0.16795,18.038962
M-8-8,T1,I,AMB,I-AMB,279.75,0.27975,35.989258
M-9-8,T1,I,AMB,I-AMB,181.5,0.1815,21.88717
M-1-18,T1,E,AMB,E-AMB,104.75,0.10475,15.120592
M-2-18,T1,E,AMB,E-AMB,148.25,0.14825,19.289848
M-3-18,T1,E,AMB,E-AMB,132.8,0.1328,18.067627
M-4-18,T1,E,AMB,E-AMB,181.45,0.18145,26.549737
M-5-18,T1,E,AMB,E-AMB,109.95,0.10995,13.988188
M-6-18,T1,E,AMB,E-AMB,290.05,0.29005,35.351803
M-7-18,T1,E,AMB,E-AMB,232.5,0.2325,28.576216
M-8-18,T1,E,AMB,E-AMB,192.4,0.1924,18.876526
M-9-18,T1,E,AMB,E-AMB,128.35,0.12835,15.61363
M-1-14,T2,G,AMB,G-AMB,117,0.117,28.492951
M-2-14,T2,G,AMB,G-AMB,174.55,0.17455,21.64966
M-3-14,T2,G,AMB,G-AMB,107.5,0.1075,27.633001
M-4-14,T2,G,AMB,G-AMB,127.3,0.1273,24.160714
M-5-14,T2,G,AMB,G-AMB,90.2,0.0902,28.174633
M-6-14,T2,G,AMB,G-AMB,234.05,0.23405,37.139953
M-7-14,T2,G,AMB,G-AMB,100.25,0.10025,19.273741
M-8-30,T2,G,AMB,G-AMB,351.05,0.35105,17.686792
M-9-14,T2,G,AMB,G-AMB,81.25,0.08125,16.9759
M-1-4,T2,C,AMB,C-AMB,204.6,0.2046,39.101731
M-2-4,T2,C,AMB,C-AMB,161.2,0.1612,23.2276
M-3-4,T2,C,AMB,C-AMB,158.3,0.1583,35.405038
M-4-4,T2,C,AMB,C-AMB,161.85,0.16185,14.681062
M-5-4,T2,C,AMB,C-AMB,116.85,0.11685,25.332976
M-6-4,T2,C,AMB,C-AMB,222.75,0.22275,30.090274
M-7-30,T2,C,AMB,C-AMB,262.95,0.26295,30.703159
M-8-4,T2,C,AMB,C-AMB,196.2,0.1962,20.006746
M-9-4,T2,C,AMB,C-AMB,195.25,0.19525,18.223237
