Tile,Genotype,Tank,PAM
M-1-1,1,36,0.216
M-1-2,1,33,0.371
M-1-3,1,30,0.439
M-1-4,1,33,0.4
M-1-5,1,36,0.227
M-1-6,1,27,0.423
M-1-7,1,33,0.371
M-1-8,1,30,0.433
M-1-9,1,27,0.43
M-1-10,1,27,0.431
M-1-11,1,36,0.224
M-1-12,1,30,0.426
M-2-2,2,36,0.153
M-2-3,2,36,0.164
M-2-4,2,33,0.417
M-2-5,2,27,0.427
M-2-6,2,33,0.385
M-2-7,2,27,0.425
M-2-8,2,36,0.132
M-2-9,2,30,0.398
M-2-10,2,27,0.404
M-2-11,2,30,0.418
M-2-12,2,30,0.404
M-3-1,3,36,0.102
M-3-2,3,27,0.465
M-3-3,3,33,0.418
M-3-4,3,36,0.123
M-3-5,3,33,0.349
M-3-6,3,36,0.162
M-3-7,3,30,0.461
M-3-8,3,30,0.473
M-3-9,3,33,0.37
M-3-10,3,27,0.129
M-3-11,3,30,0.291
M-3-12,3,27,0.085
M-4-1,4,36,0.263
M-4-2,4,30,0.379
M-4-3,4,36,0.189
M-4-4,4,27,0.459
M-4-5,4,36,0.223
M-4-6,4,33,0.37
M-4-7,4,30,0.42
M-4-8,4,27,0.273
M-4-9,4,27,0.047
M-4-10,4,33,0.363
M-4-11,4,33,0.393
M-4-12,4,30,0.466
M-5-1,5,33,0.379
M-5-2,5,30,0.429
M-5-3,5,30,0.416
M-5-4,5,27,0.412
M-5-5,5,27,0.399
M-5-6,5,33,0.374
M-5-7,5,36,0.195
M-5-8,5,36,0.163
M-5-9,5,27,0.417
M-5-10,5,30,0.414
M-5-11,5,33,0.389
M-5-12,5,36,0.181
M-6-1,6,36,0.195
M-6-2,6,27,0.414
M-6-3,6,33,0.404
M-6-4,6,30,0.402
M-6-5,6,27,0.427
M-6-6,6,33,0.388
M-6-7,6,33,0.377
M-6-8,6,27,0.423
M-6-9,6,30,0.404
M-6-10,6,36,0.204
M-6-11,6,36,0.182
M-6-12,6,30,0.421
M-7-1,7,30,0.413
M-7-2,7,30,0.424
M-7-3,7,33,0.403
M-7-4,7,27,0.434
M-7-5,7,30,0.423
M-7-6,7,33,0.406
M-7-8,7,27,0.439
M-7-9,7,27,0.446
M-7-10,7,36,0.19
M-7-11,7,36,0.162
M-7-12,7,36,0.166
M-8-1,8,33,0.447
M-8-2,8,27,0.471
M-8-3,8,30,0.49
M-8-4,8,30,0.48
M-8-5,8,33,0.462
M-8-6,8,36,0.164
M-8-7,8,36,0.151
M-8-8,8,27,0.461
M-8-9,8,36,0.161
M-8-10,8,30,0.466
M-8-11,8,27,0.174
M-8-12,8,33,0.429
M-9-1,9,27,0.439
M-9-2,9,33,0.423
M-9-4,9,27,0.458
M-9-5,9,30,0.451
M-9-6,9,27,0.447
M-9-7,9,36,0.163
M-9-8,9,33,0.425
M-9-9,9,30,0.43
M-9-10,9,36,0.206
M-9-11,9,30,0.426
M-9-12,9,36,0.187
M-10-1,10,30,0.462
M-10-2,10,36,0.103
M-10-3,10,33,0.454
M-10-4,10,36,0.138
M-10-5,10,27,0.256
M-10-6,10,27,0.189
M-10-7,10,27,0.316
M-10-8,10,30,0.474
M-10-9,10,33,0.463
M-10-10,10,36,0.088
M-10-11,10,30,0.501
M-10-12,10,33,0.445
M-11-1,11,36,0.173
M-11-2,11,30,0.442
M-11-3,11,33,0.419
M-11-4,11,33,0.397
M-11-5,11,30,0.414
M-11-6,11,27,0.432
M-11-7,11,27,0.435
M-11-8,11,30,0.424
M-11-9,11,27,0.425
M-11-10,11,33,0.399
M-11-11,11,36,0.154
M-11-12,11,36,0.158
M-12-1,12,33,0.381
M-12-2,12,27,0.389
M-12-3,12,36,0.133
M-12-4,12,33,0.439
M-12-5,12,27,0.481
M-12-6,12,33,0.385
M-12-7,12,27,0.432
M-12-8,12,36,0.137
M-12-9,12,36,0.169
M-12-10,12,30,0.481
M-12-11,12,30,0.486
M-12-12,12,30,0.466
M-13-1,13,36,0.199
M-13-2,13,27,0.481
M-13-3,13,27,0.492
M-13-4,13,30,0.484
M-13-5,13,36,0.201
M-13-6,13,27,0.483
M-13-7,13,30,0.391
M-13-8,13,36,0.188
M-13-9,13,33,0.456
M-13-10,13,33,0.467
M-13-11,13,33,0.454
M-13-12,13,30,0.453
M-14-1,14,33,0.418
M-14-3,14,30,0.388
M-14-4,14,36,0.18
M-14-5,14,27,0.446
M-14-6,14,33,0.437
M-14-7,14,27,0.458
M-14-8,14,36,0.162
M-14-9,14,30,0.434
M-14-10,14,27,0.434
M-14-11,14,36,0.21
M-14-12,14,30,0.436
M-15-1,15,30,0.462
M-15-2,15,30,0.439
M-15-3,15,33,0.418
M-15-4,15,36,0.086
M-15-5,15,30,0.45
M-15-6,15,36,0.083
M-15-7,15,33,0.424
M-15-8,15,36,0.133
M-15-9,15,27,0.429
M-15-10,15,27,0.414
M-15-11,15,27,0.436
M-15-12,15,33,0.438
M-16-1,16,33,0.462
M-16-2,16,36,0.203
M-16-3,16,27,0.434
M-16-4,16,30,0.439
M-16-5,16,30,0.325
M-16-6,16,30,0.099
M-16-7,16,33,0.433
M-16-8,16,36,0.164
M-16-9,16,27,0.34
M-16-10,16,27,0.469
M-16-11,16,36,0.213
M-16-12,16,33,0.39
M-17-1,17,27,0.449
M-17-2,17,33,0.422
M-17-3,17,33,0.441
M-17-4,17,30,0.414
M-17-5,17,36,0.186
M-17-6,17,27,0.431
M-17-7,17,30,0.426
M-17-8,17,36,0.185
M-17-9,17,27,0.458
M-17-10,17,30,0.442
M-17-11,17,33,0.435
M-17-12,17,36,0.191
M-18-1,18,33,0.435
M-18-2,18,27,0.476
M-18-4,18,27,0.483
M-18-5,18,33,0.442
M-18-6,18,36,0.139
M-18-7,18,36,0.157
M-18-8,18,36,0.187
M-18-9,18,30,0.468
M-18-10,18,27,0.475
M-18-11,18,30,0.475
M-18-12,18,30,0.48
M-19-1,19,36,0.143
M-19-2,19,30,0.441
M-19-3,19,33,0.407
M-19-4,19,33,0.398
M-19-5,19,27,0.437
M-19-6,19,36,0.179
M-19-7,19,30,0.442
M-19-8,19,36,0.164
M-19-9,19,30,0.438
M-19-10,19,27,0.444
M-19-11,19,33,0.432
M-19-12,19,27,0.437
M-20-1,20,30,0.46
M-20-2,20,30,0.452
M-20-3,20,27,0.467
M-20-5,20,33,0.441
M-20-6,20,36,0.096
M-20-7,20,30,0.023
M-20-8,20,36,0.167
M-20-9,20,33,0.456
M-20-10,20,27,0.486
M-20-11,20,36,0.058
M-20-12,20,27,0.485
