Tile,Genotype,Tank,PAM,Average by temp,Average 27 and 30,∆27/30 - 33,∆27/30 - 36,Tile,Genotype,Tank,PAM,Average by temp,Average 27 and 30,∆27/30 - 33,∆27/30 - 36,Tile,Genotype,Tank,PAM,Average by temp,Average 27 and 30,∆27/30 - 33,∆27/30 - 36,Tile,Genotype,Tank,PAM,Average by temp,Average 27 and 30,∆27/30 - 33,∆27/30 - 36
P-1-6,1,27,0.503,,,,,P-2-3,2,27,0.454,,,,,P-3-2,3,27,0.524,,,,,P-4-1,4,27,0.493,,,,
P-1-8,1,27,0.510,,,,,P-2-8,2,27,0.494,,,,,P-3-7,3,27,0.512,,,,,P-4-2,4,27,0.426,,,,
P-1-12,1,27,0.511,0.508,,,,P-2-12,2,27,0.477,0.475,,,,P-3-9,3,27,0.511,0.516,,,,P-4-7,4,27,0.421,0.447,,,
P-1-4,1,30,0.516,,,,,P-2-1,2,30,0.509,,,,,P-3-10,3,30,0.518,,,,,P-4-3,4,30,0.507,,,,
P-1-7,1,30,0.500,0.508,0.508,,,P-2-9,2,30,0.501,,,,,P-3-11,3,30,0.520,,,,,P-4-5,4,30,0.489,,,,
P-1-2,1,33,0.471,,,,,P-2-10,2,30,0.515,0.508,0.492,,,P-3-12,3,30,0.514,0.517,0.517,,,P-4-11,4,30,0.497,0.498,0.472,,
P-1-10,1,33,0.484,,,,,P-2-4,2,33,0.434,,,,,P-3-1,3,33,0.442,,,,,P-4-6,4,33,0.475,,,,
P-1-11,1,33,0.492,0.482,,0.026,,P-2-7,2,33,0.416,,,,,P-3-5,3,33,0.507,,,,,P-4-8,4,33,0.443,,,,
P-1-1,1,36,0.172,,,,,P-2-11,2,33,0.478,0.443,,0.049,,P-3-8,3,33,0.459,0.469,,0.047,,P-4-9,4,33,0.423,0.447,,0.025,
P-1-5,1,36,0.135,,,,,P-2-2,2,36,0.215,,,,,P-3-3,3,36,0.143,,,,,P-4-4,4,36,0.110,,,,
P-1-9,1,36,0.155,0.154,,,0.354,P-2-5,2,36,0.203,,,,,P-3-4,3,36,0.146,,,,,P-4-10,4,36,0.123,,,,
,,,,,,,,P-2-6,2,36,0.189,0.202,,,0.289,P-3-6,3,36,0.257,0.182,,,0.335,P-4-12,4,36,0.167,0.133,,,0.339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-5-3,5,27,0.509,,,,,P-6-4,6,27,0.512,,,,,P-7-2,7,27,0.488,,,,,P-8-1,8,27,0.471,,,,
P-5-7,5,27,0.503,,,,,P-6-6,6,27,0.483,,,,,P-7-9,7,27,0.485,,,,,P-8-7,8,27,0.414,,,,
P-5-9,5,27,0.498,0.503,,,,P-6-12,6,27,0.479,0.491,,,,P-7-10,7,27,0.478,0.484,,,,P-8-12,8,27,0.496,0.460,,,
P-5-1,5,30,0.480,,,,,P-6-7,6,30,0.502,,,,,P-7-1,7,30,0.505,,,,,P-8-5,8,30,0.461,0.461,0.461,,
P-5-6,5,30,0.503,,,,,P-6-8,6,30,0.505,,,,,P-7-6,7,30,0.493,,,,,P-8-3,8,33,0.386,,,,
P-5-12,5,30,0.489,0.491,0.497,,,P-6-9,6,30,0.477,0.495,0.493,,,P-7-11,7,30,0.463,0.487,0.485,,,P-8-6,8,33,0.397,,,,
P-5-2,5,33,0.452,,,,,P-6-2,6,33,0.448,,,,,P-7-5,7,33,0.425,,,,,P-8-10,8,33,0.470,0.418,,0.043,
P-5-4,5,33,0.457,,,,,P-6-10,6,33,0.458,,,,,P-7-8,7,33,0.423,,,,,P-8-2,8,36,0.083,,,,
P-5-5,5,33,0.473,0.461,,0.036,,P-6-11,6,33,0.456,0.454,,0.039,,P-7-12,7,33,0.447,0.432,,0.054,,P-8-4,8,36,0.072,,,,
