Timepoint,Fragment ,Genotype,Treatment,Temperature,T-T,Height 1,Height 2,Height 3,H.AVG,Planar 1,Planar 2,Planar 3,P.AVG,SA,RGR
T0,M-1-1,1,C,AMB,C-AMB,4.354,4.386,4.386,4.375,8.175,8.100,8.034,8.103,35.453,1
T3,M-1-1,1,C,AMB,C-AMB,4.286,4.306,4.255,4.282,9.122,9.024,8.827,8.991,38.502,1.086004145
T0,M-1-10,1,I,HEAT,I-HEAT,3.965,3.998,4.043,4.002,7.110,7.010,7.076,7.065,28.275,1
T3,M-1-10,1,I,HEAT,I-HEAT,4.055,4.026,4.036,4.039,6.675,6.746,6.843,6.755,27.282,0.9648682924
T0,M-1-11,1,G,AMB,G-AMB,4.110,4.153,4.132,4.132,9.179,9.110,9.114,9.134,37.740,1
T3,M-1-11,1,G,AMB,G-AMB,4.161,4.201,4.220,4.194,9.038,9.054,9.195,9.096,38.147,1.010789752
T0,M-1-12,1,G,AMB,G-AMB,4.541,4.583,4.520,4.548,8.591,8.572,8.615,8.593,39.079,1
T3,M-1-12,1,G,AMB,G-AMB,4.601,4.601,4.601,4.601,8.806,8.776,8.785,8.789,40.438,1.034768685
T0,M-1-16,1,E,AMB,E-AMB,4.019,4.080,4.070,4.056,12.234,12.248,12.004,12.162,49.333,1
T3,M-1-16,1,E,AMB,E-AMB,4.112,4.155,4.112,4.126,12.776,12.752,12.760,12.763,52.663,1.067498072
T0,M-1-17,1,E,AMB,E-AMB,4.266,4.215,4.206,4.229,7.334,7.335,7.216,7.295,30.851,1
T3,M-1-17,1,E,AMB,E-AMB,4.333,4.315,4.268,4.305,7.385,7.307,7.306,7.333,31.570,1.023306525
T0,M-1-2,1,C,AMB,C-AMB,3.393,3.404,3.382,3.393,6.541,6.494,6.570,6.535,22.173,1
T3,M-1-2,1,C,AMB,C-AMB,3.438,3.428,3.448,3.438,6.691,6.669,6.600,6.653,22.874,1.031610379
T0,M-1-20,1,E,HEAT,E-HEAT,3.627,3.595,3.637,3.620,5.700,5.726,5.559,5.662,20.493,1
T3,M-1-20,1,E,HEAT,E-HEAT,3.704,3.650,3.693,3.682,5.060,5.048,5.040,5.049,18.593,0.9072861183
T0,M-1-22,1,C,HEAT,C-HEAT,4.389,4.337,4.368,4.365,4.983,4.828,4.844,4.885,21.321,1
T3,M-1-22,1,C,HEAT,C-HEAT,4.430,4.430,4.421,4.427,4.616,4.681,4.647,4.648,20.577,0.9650726133
T0,M-1-23,1,I,HEAT,I-HEAT,4.169,4.146,4.190,4.168,5.322,5.343,5.273,5.313,22.145,1
T3,M-1-23,1,I,HEAT,I-HEAT,4.250,4.260,4.241,4.250,5.289,5.207,5.229,5.242,22.279,1.006044941
T0,M-1-24,1,G,HEAT,G-HEAT,3.938,3.959,3.980,3.959,3.479,3.405,3.332,3.405,13.482,1
T3,M-1-24,1,G,HEAT,G-HEAT,3.915,3.915,3.897,3.909,3.324,3.239,3.355,3.306,12.923,0.9585690188
T0,M-1-25,1,E,HEAT,E-HEAT,3.627,3.638,3.659,3.641,7.369,7.363,7.271,7.334,26.707,1
T3,M-1-25,1,E,HEAT,E-HEAT,3.705,3.677,3.649,3.677,7.397,7.493,7.476,7.455,27.413,1.026454292
T0,M-1-5,1,C,HEAT,C-HEAT,5.161,5.161,5.213,5.178,8.905,8.755,8.884,8.848,45.818,1
T3,M-1-5,1,C,HEAT,C-HEAT,5.250,5.278,5.259,5.262,8.157,8.251,8.302,8.237,43.344,0.9460078236
T0,M-1-6,1,I,AMB,I-AMB,3.291,3.311,3.291,3.298,8.931,8.728,8.783,8.814,29.066,1
T3,M-1-6,1,I,AMB,I-AMB,3.344,3.303,3.263,3.303,8.879,8.762,8.767,8.803,29.078,1.000430344
T0,M-1-7,1,I,AMB,I-AMB,3.715,3.725,3.693,3.711,8.229,8.094,8.020,8.114,30.112,1
T3,M-1-7,1,I,AMB,I-AMB,3.831,3.831,3.831,3.831,7.757,7.805,7.662,7.741,29.657,0.9848818212
T0,M-2-1,2,C,AMB,C-AMB,5.511,5.489,5.543,5.514,8.640,8.602,8.638,8.627,47.570,1
T3,M-2-1,2,C,AMB,C-AMB,5.851,5.790,5.820,5.820,8.596,8.560,8.597,8.584,49.964,1.050312172
