Frag ID,Timepoint,Date,Treatment,Temperature,T-T,Weight,Temp,Salinity
M-1-1,0,7/20/2023,C,AMB,C-AMB,9.34,26.4,53.1
M-1-10,0,7/20/2023,I,HEAT,I-HEAT,8.349,25.1,53
M-1-11,0,7/20/2023,G,AMB,G-AMB,9.389,26.4,53.1
M-1-12,0,7/20/2023,G,AMB,G-AMB,8.708,26.4,53.1
M-1-15,0,7/20/2023,G,HEAT,G-HEAT,8.647,25.1,53
M-1-16,0,7/20/2023,E,AMB,E-AMB,10.252,26.4,53.1
M-1-17,0,7/20/2023,E,AMB,E-AMB,8.36,26.4,53.1
M-1-2,0,7/20/2023,C,AMB,C-AMB,8.604,26.4,53.1
M-1-20,0,7/20/2023,E,HEAT,E-HEAT,8.473,25.1,53
M-1-22,0,7/20/2023,C,HEAT,C-HEAT,8.453,25.1,53
M-1-23,0,7/20/2023,I,HEAT,I-HEAT,8.165,25.1,53
M-1-24,0,7/20/2023,G,HEAT,G-HEAT,7.305,25.1,53
M-1-25,0,7/20/2023,E,HEAT,E-HEAT,8.794,25.1,53
M-1-5,0,7/20/2023,C,HEAT,C-HEAT,10.094,25.1,53
M-1-6,0,7/20/2023,I,AMB,I-AMB,8.303,26.4,53.1
M-1-7,0,7/20/2023,I,AMB,I-AMB,8.511,26.4,53.1
M-2-1,0,7/20/2023,C,AMB,C-AMB,8.862,26.4,53.1
M-2-10,0,7/20/2023,I,HEAT,I-HEAT,8.833,25.1,53
M-2-11,0,7/20/2023,G,AMB,G-AMB,8.977,26.4,53.1
M-2-12,0,7/20/2023,G,AMB,G-AMB,8.281,26.4,53.1
M-2-15,0,7/20/2023,G,HEAT,G-HEAT,8.474,25.1,53
M-2-16,0,7/20/2023,E,AMB,E-AMB,8.051,26.4,53.1
M-2-17,0,7/20/2023,E,AMB,E-AMB,9.559,26.4,53.1
M-2-2,0,7/20/2023,C,AMB,C-AMB,8.158,26.4,53.1
M-2-20,0,7/20/2023,E,HEAT,E-HEAT,9.17,25.1,53
M-2-22,0,7/20/2023,C,HEAT,C-HEAT,9.117,25.1,53
M-2-23,0,7/20/2023,I,HEAT,I-HEAT,8.678,25.1,53
M-2-24,0,7/20/2023,G,HEAT,G-HEAT,8.152,25.1,53
M-2-25,0,7/20/2023,E,HEAT,E-HEAT,8.29,25.1,53
M-2-5,0,7/20/2023,C,HEAT,C-HEAT,8,25.1,53
M-2-6,0,7/20/2023,I,AMB,I-AMB,9.181,26.4,53.1
M-2-7,0,7/20/2023,I,AMB,I-AMB,7.829,26.4,53.1
M-3-1,0,7/20/2023,C,AMB,C-AMB,9.013,26.4,53.1
M-3-10,0,7/20/2023,I,HEAT,I-HEAT,8.055,25.1,53
