Frag ID,Timepoint,Date,Treatment,Temperature,T-T,Weight,Temp,Salinity
P-1-1,0,7/20/2023,C,AMB,C-AMB,9.556,26.1,53.6
P-1-10,0,7/20/2023,I,HEAT,I-HEAT,8.088,25.8,53
P-1-11,0,7/20/2023,G,AMB,G-AMB,9.448,26.1,53.6
P-1-12,0,7/20/2023,G,AMB,G-AMB,9.256,26.1,53.6
P-1-15,0,7/20/2023,G,HEAT,G-HEAT,10.567,25.8,53
P-1-16,0,7/20/2023,E,AMB,E-AMB,8.711,26.1,53.6
P-1-17,0,7/20/2023,E,AMB,E-AMB,8.793,26.1,53.6
P-1-2,0,7/20/2023,C,AMB,C-AMB,7.874,26.1,53.6
P-1-20,0,7/20/2023,E,HEAT,E-HEAT,8.395,25.8,53
P-1-22,0,7/20/2023,C,HEAT,C-HEAT,9.585,25.8,53
P-1-23,0,7/20/2023,I,HEAT,I-HEAT,8.832,25.8,53
P-1-24,0,7/20/2023,G,HEAT,G-HEAT,9.974,25.8,53
P-1-25,0,7/20/2023,E,HEAT,E-HEAT,8.559,25.8,53
P-1-5,0,7/20/2023,C,HEAT,C-HEAT,7.65,25.8,53
P-1-6,0,7/20/2023,I,AMB,I-AMB,8.978,26.1,53.6
P-1-7,0,7/20/2023,I,AMB,I-AMB,7.612,26.1,53.6
P-2-1,0,7/20/2023,C,AMB,C-AMB,11.178,26.1,53.6
P-2-10,0,7/20/2023,I,HEAT,I-HEAT,11.306,25.8,53
P-2-11,0,7/20/2023,G,AMB,G-AMB,11.745,26.1,53.6
P-2-12,0,7/20/2023,G,AMB,G-AMB,10.961,26.1,53.6
P-2-15,0,7/20/2023,G,HEAT,G-HEAT,12.437,25.8,53
P-2-16,0,7/20/2023,E,AMB,E-AMB,10.411,26.1,53.6
P-2-17,0,7/20/2023,E,AMB,E-AMB,10.407,26.1,53.6
P-2-2,0,7/20/2023,C,AMB,C-AMB,10.074,26.1,53.6
P-2-20,0,7/20/2023,E,HEAT,E-HEAT,13.67,25.8,53
P-2-22,0,7/20/2023,C,HEAT,C-HEAT,11.253,25.8,53
P-2-23,0,7/20/2023,I,HEAT,I-HEAT,9.816,25.8,53
