Fragment ID,Timepoint,Treatment,Temperature,T-T,dry_mass_mg,dry_mass_g,surface_area_cm2
P-1-21,T0,C,AMB,C-AMB,104.75,0.10475,15.432035
P-2-21,T0,C,AMB,C-AMB,159.15,0.15915,16.238633
P-3-21,T0,C,AMB,C-AMB,139.9,0.1399,16.19612
P-4-21,T0,C,AMB,C-AMB,148.2,0.1482,13.566059
P-5-21,T0,C,AMB,C-AMB,104.7,0.1047,14.432788
P-6-21,T0,C,AMB,C-AMB,217.95,0.21795,29.877646
P-7-21,T0,C,AMB,C-AMB,141.15,0.14115,16.942204
P-8-21,T0,C,AMB,C-AMB,243.6,0.2436,20.158638
P-9-21,T0,C,AMB,C-AMB,172.7,0.1727,18.272363
P-1-13,T1,G,AMB,G-AMB,106.5,0.1065,27.034637
P-1-18,T1,E,AMB,E-AMB,86.05,0.08605,21.461604
P-1-3,T1,C,AMB,C-AMB,115.55,0.11555,18.52476
P-1-8,T1,I,AMB,I-AMB,191.1,0.1911,20.717052
P-2-13,T1,G,AMB,G-AMB,101.85,0.10185,26.432178
P-2-18,T1,E,AMB,E-AMB,115.65,0.11565,24.378532
P-2-3,T1,C,AMB,C-AMB,187.95,0.18795,16.071645
P-2-8,T1,I,AMB,I-AMB,233.9,0.2339,15.118358
P-3-13,T1,G,AMB,G-AMB,152.25,0.15225,14.559561
P-3-18,T1,E,AMB,E-AMB,95.45,0.09545,20.045653
P-3-3,T1,C,AMB,C-AMB,127.75,0.12775,23.636661
P-3-8,T1,I,AMB,I-AMB,91.05,0.09105,21.308404
P-4-13,T1,G,AMB,G-AMB,128.35,0.12835,20.752671
P-4-18,T1,E,AMB,E-AMB,168.6,0.1686,23.803649
P-4-3,T1,C,AMB,C-AMB,209.05,0.20905,22.194666
P-4-8,T1,I,AMB,I-AMB,134.7,0.1347,30.896426
P-5-13,T1,G,AMB,G-AMB,176.7,0.1767,23.944593
P-5-18,T1,E,AMB,E-AMB,120.1,0.1201,20.469634
P-5-3,T1,C,AMB,C-AMB,129.05,0.12905,32.865812
P-5-8,T1,I,AMB,I-AMB,147.15,0.14715,24.925073
P-6-13,T1,G,AMB,G-AMB,190.2,0.1902,29.393151
P-6-18,T1,E,AMB,E-AMB,169.25,0.16925,36.694663
P-6-3,T1,C,AMB,C-AMB,207.7,0.2077,26.505331
P-6-8,T1,I,AMB,I-AMB,107.6,0.1076,27.392742
P-7-13,T1,G,AMB,G-AMB,151.3,0.1513,11.28606
P-7-18,T1,E,AMB,E-AMB,190.45,0.19045,14.338953
P-7-3,T1,C,AMB,C-AMB,147.4,0.1474,11.202566
P-7-8,T1,I,AMB,I-AMB,98.85,0.09885,30.331884
P-8-13,T1,G,AMB,G-AMB,201.2,0.2012,36.049308
P-8-18,T1,E,AMB,E-AMB,291.25,0.29125,25.457443
P-8-3,T1,C,AMB,C-AMB,124.45,0.12445,20.162468
P-8-8,T1,I,AMB,I-AMB,391.6,0.3916,42.629631
P-9-13,T1,G,AMB,G-AMB,156.25,0.15625,22.889045
P-9-18,T1,E,AMB,E-AMB,142.6,0.1426,26.334896
P-9-3,T1,C,AMB,C-AMB,185.6,0.1856,27.144941
P-9-8,T1,I,AMB,I-AMB,107.65,0.10765,29.611461
P-1-14,T2,G,AMB,G-AMB,208.2,0.2082,20.721648
P-1-19,T2,E,AMB,E-AMB,140.8,0.1408,23.952636
P-1-26,T2,C,HEAT,C-HEAT,189.05,0.18905,24.695273
P-1-27,T2,I,HEAT,I-HEAT,368.35,0.36835,44.767154
P-1-28,T2,G,HEAT,G-HEAT,140.95,0.14095,31.520333
P-1-29,T2,E,HEAT,E-HEAT,237.1,0.2371,44.274999
P-1-4,T2,C,AMB,C-AMB,133.1,0.1331,34.676636
P-1-9,T2,I,AMB,I-AMB,103.25,0.10325,27.39121
P-2-14,T2,G,AMB,G-AMB,123.15,0.12315,25.264794
P-2-19,T2,E,AMB,E-AMB,144.8,0.1448,34.791153
P-2-26,T2,C,HEAT,C-HEAT,136.95,0.13695,40.756378
P-2-27,T2,I,HEAT,I-HEAT,230.8,0.2308,48.585664
P-2-28,T2,G,HEAT,G-HEAT,214.75,0.21475,29.950033
P-2-29,T2,E,HEAT,E-HEAT,229.5,0.2295,22.45051
P-2-30,T2,C,AMB,C-AMB,179.55,0.17955,18.838054
P-2-9,T2,I,AMB,I-AMB,161.35,0.16135,21.073625
P-3-14,T2,G,AMB,G-AMB,154.6,0.1546,19.840365
P-3-19,T2,E,AMB,E-AMB,123.9,0.1239,33.08259
P-3-26,T2,C,HEAT,C-HEAT,135.4,0.1354,44.144396
P-3-27,T2,I,HEAT,I-HEAT,156.1,0.1561,13.903099
P-3-28,T2,G,HEAT,G-HEAT,196.6,0.1966,19.707847
P-3-29,T2,E,HEAT,E-HEAT,56.95,0.05695,25.034611
P-3-4,T2,C,AMB,C-AMB,156.55,0.15655,24.612928
P-3-9,T2,I,AMB,I-AMB,112.45,0.11245,29.421876
P-4-14,T2,G,AMB,G-AMB,148.15,0.14815,24.485389
P-4-19,T2,E,AMB,E-AMB,86.8,0.0868,24.073281
P-4-26,T2,C,HEAT,C-HEAT,126.25,0.12625,47.292273
P-4-27,T2,I,HEAT,I-HEAT,156.7,0.1567,32.461747
P-4-28,T2,G,HEAT,G-HEAT,259.4,0.2594,19.097728
P-4-29,T2,E,HEAT,E-HEAT,176.3,0.1763,29.673124
P-4-4,T2,C,AMB,C-AMB,142.05,0.14205,19.87675
P-4-9,T2,I,AMB,I-AMB,134.85,0.13485,17.039486
