Date,Time,TANK,LIGHT (PAR)
7/24/2023,0:15,MCAP AMB,0
7/24/2023,0:30,MCAP AMB,0
7/24/2023,0:45,MCAP AMB,0
7/24/2023,1:00,MCAP AMB,0
7/24/2023,1:15,MCAP AMB,0
7/24/2023,1:30,MCAP AMB,0
7/24/2023,1:45,MCAP AMB,0
7/24/2023,2:00,MCAP AMB,0
7/24/2023,2:15,MCAP AMB,0
7/24/2023,2:30,MCAP AMB,0
7/24/2023,2:45,MCAP AMB,0
7/24/2023,3:00,MCAP AMB,0
7/24/2023,3:15,MCAP AMB,0
7/24/2023,3:30,MCAP AMB,0
7/24/2023,3:45,MCAP AMB,0
7/24/2023,4:00,MCAP AMB,0
7/24/2023,4:15,MCAP AMB,0
7/24/2023,4:30,MCAP AMB,0
7/24/2023,4:45,MCAP AMB,0
7/24/2023,5:00,MCAP AMB,0
7/24/2023,5:15,MCAP AMB,0
7/24/2023,5:30,MCAP AMB,0
7/24/2023,5:45,MCAP AMB,0
7/24/2023,6:00,MCAP AMB,0
7/24/2023,6:15,MCAP AMB,1.7
7/24/2023,6:30,MCAP AMB,5.9
7/24/2023,6:45,MCAP AMB,10.8
7/24/2023,7:00,MCAP AMB,14.3
7/24/2023,7:15,MCAP AMB,21
7/24/2023,7:30,MCAP AMB,26.8
7/24/2023,7:45,MCAP AMB,123.2
7/24/2023,8:00,MCAP AMB,150.1
7/24/2023,8:15,MCAP AMB,148.3
7/24/2023,8:30,MCAP AMB,176.1
7/24/2023,8:45,MCAP AMB,260.4
7/24/2023,9:00,MCAP AMB,93
7/24/2023,9:15,MCAP AMB,99
7/24/2023,9:30,MCAP AMB,103
7/24/2023,9:45,MCAP AMB,171.8
7/24/2023,10:00,MCAP AMB,61.9
7/24/2023,10:15,MCAP AMB,196.9
7/24/2023,10:30,MCAP AMB,431
7/24/2023,10:45,MCAP AMB,178.1
7/24/2023,11:00,MCAP AMB,103.1
7/24/2023,11:15,MCAP AMB,112.3
7/24/2023,11:30,MCAP AMB,148.5
7/24/2023,11:45,MCAP AMB,96.7
7/24/2023,12:00,MCAP AMB,96.3
7/24/2023,12:15,MCAP AMB,113
7/24/2023,12:30,MCAP AMB,84.8
7/24/2023,12:45,MCAP AMB,82
7/24/2023,13:00,MCAP AMB,72
7/24/2023,13:15,MCAP AMB,92.1
7/24/2023,13:30,MCAP AMB,133.8
7/24/2023,13:45,MCAP AMB,140.4
7/24/2023,14:00,MCAP AMB,119.6
7/24/2023,14:15,MCAP AMB,137.5
7/24/2023,14:30,MCAP AMB,131.4
7/24/2023,14:45,MCAP AMB,138.9
7/24/2023,15:00,MCAP AMB,179.4
7/24/2023,15:15,MCAP AMB,141
7/24/2023,15:30,MCAP AMB,119.2
7/24/2023,15:45,MCAP AMB,142.1
7/24/2023,16:00,MCAP AMB,73.6
7/24/2023,16:15,MCAP AMB,79
7/24/2023,16:30,MCAP AMB,79.2
7/24/2023,16:45,MCAP AMB,108.3
7/24/2023,17:00,MCAP AMB,159.2
7/24/2023,17:15,MCAP AMB,123.2
7/24/2023,17:30,MCAP AMB,50.8
7/24/2023,17:45,MCAP AMB,27.1
7/24/2023,18:00,MCAP AMB,20.7
7/24/2023,18:15,MCAP AMB,15
7/24/2023,18:30,MCAP AMB,13.7
7/24/2023,18:45,MCAP AMB,12.1
7/24/2023,19:00,MCAP AMB,7.2
7/24/2023,19:15,MCAP AMB,2.1
7/24/2023,19:30,MCAP AMB,0.3
7/24/2023,19:45,MCAP AMB,0
7/24/2023,20:00,MCAP AMB,0
7/24/2023,20:15,MCAP AMB,0
7/24/2023,20:30,MCAP AMB,0
7/24/2023,20:45,MCAP AMB,0
7/24/2023,21:00,MCAP AMB,0
