Date_Time,variable,value
7/3/2023 10:01,YSI,24.089
7/3/2023 10:31,YSI,24.031
7/3/2023 11:01,YSI,23.64
7/3/2023 11:31,YSI,23.343
7/3/2023 12:01,YSI,23.097
7/3/2023 12:31,YSI,22.919
7/3/2023 13:01,YSI,22.787
7/3/2023 13:31,YSI,22.654
7/3/2023 14:01,YSI,22.553
7/3/2023 14:31,YSI,22.49
7/3/2023 15:01,YSI,22.456
7/3/2023 15:31,YSI,22.429
7/3/2023 16:01,YSI,22.41
7/3/2023 16:31,YSI,22.408
7/3/2023 17:01,YSI,22.39
7/3/2023 17:31,YSI,22.378
7/3/2023 18:01,YSI,22.371
7/3/2023 18:31,YSI,22.31
7/3/2023 19:01,YSI,22.23
7/3/2023 19:31,YSI,22.126
7/3/2023 20:01,YSI,22.023
7/3/2023 20:31,YSI,21.928
7/3/2023 21:01,YSI,21.815
7/3/2023 21:31,YSI,21.679
7/3/2023 22:01,YSI,21.542
7/3/2023 22:31,YSI,21.408
7/3/2023 23:01,YSI,21.369
7/3/2023 23:31,YSI,21.416
7/4/2023 0:01,YSI,21.57
7/4/2023 0:31,YSI,21.723
7/4/2023 1:01,YSI,21.883
7/4/2023 1:31,YSI,22.041
7/4/2023 2:01,YSI,22.138
7/4/2023 2:31,YSI,22.2
7/4/2023 3:01,YSI,22.244
7/4/2023 3:31,YSI,22.334
7/4/2023 4:01,YSI,22.403
7/4/2023 4:31,YSI,22.487
7/4/2023 5:01,YSI,22.575
7/4/2023 5:31,YSI,22.671
7/4/2023 6:01,YSI,22.74
7/4/2023 6:31,YSI,22.827
7/4/2023 7:01,YSI,22.966
7/4/2023 7:31,YSI,23.212
7/4/2023 8:01,YSI,23.402
7/4/2023 8:31,YSI,23.562
7/4/2023 9:01,YSI,23.708
7/4/2023 9:31,YSI,23.855
7/4/2023 10:01,YSI,23.986
7/4/2023 10:31,YSI,24.12
7/4/2023 11:01,YSI,24.199
7/4/2023 11:31,YSI,24.333
7/4/2023 12:01,YSI,24.485
7/4/2023 12:31,YSI,24.65
7/4/2023 13:01,YSI,24.831
7/4/2023 13:31,YSI,24.999
7/4/2023 14:01,YSI,25.16
7/4/2023 14:31,YSI,25.308
7/4/2023 15:01,YSI,25.408
7/4/2023 15:31,YSI,25.325
7/4/2023 16:01,YSI,25.279
7/4/2023 16:31,YSI,25.25
7/4/2023 17:01,YSI,25.212
7/4/2023 17:31,YSI,25.176
7/4/2023 18:01,YSI,25.138
7/4/2023 18:31,YSI,25.098
7/4/2023 19:01,YSI,25.048
7/4/2023 19:31,YSI,24.954
7/4/2023 20:01,YSI,24.853
7/4/2023 20:31,YSI,24.771
7/4/2023 21:01,YSI,24.725
7/4/2023 21:31,YSI,24.67
7/4/2023 22:01,YSI,24.633
7/4/2023 22:31,YSI,24.579
7/4/2023 23:01,YSI,24.544
7/4/2023 23:31,YSI,24.49
7/5/2023 0:01,YSI,24.448
7/5/2023 0:31,YSI,24.392
7/5/2023 1:01,YSI,24.328
7/5/2023 1:31,YSI,24.261
7/5/2023 2:01,YSI,24.182
7/5/2023 2:31,YSI,24.137
7/5/2023 3:01,YSI,24.063
7/5/2023 3:31,YSI,23.987
7/5/2023 4:01,YSI,23.928
7/5/2023 4:31,YSI,23.82
7/5/2023 5:01,YSI,23.77
7/5/2023 5:31,YSI,23.693
7/5/2023 6:01,YSI,23.647
7/5/2023 6:31,YSI,23.571
7/5/2023 7:01,YSI,23.53
7/5/2023 7:31,YSI,23.507
7/5/2023 8:01,YSI,23.53
7/3/2023 10:01,MA1,23.875
7/3/2023 10:31,MA1,23.5
7/3/2023 11:01,MA1,23.125
7/3/2023 11:31,MA1,22.875
7/3/2023 12:01,MA1,22.75
7/3/2023 12:31,MA1,22.5
7/3/2023 13:01,MA1,22.5
7/3/2023 13:31,MA1,22.375
