Date,Hour,Timepoint,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,MA11,MA12,MH1,MH2,MH3,MH4,MH5,MH6,MH7,MH8,MH9,MH10,MH11,MH12,MCAP-SOURCE
7/24/2023,0,1,26.6875,26.8125,26.75,26.375,26.75,26.4375,26.1875,26.375,26.5625,26.4375,26.3125,26.25,26.25,25.9375,25.9375,26.1875,25.75,26,25.875,25.875,26,26,26.125,26.25,
7/24/2023,1,2,26.625,26.75,26.75,26.3125,26.6875,26.375,26.125,26.3125,26.5,26.375,26.3125,26.25,26.375,26,26,26.25,25.875,26,25.9375,26,26,26,26.125,26.25,
7/24/2023,2,3,26.625,26.6875,26.6875,26.25,26.625,26.375,26.125,26.25,26.4375,26.375,26.25,26.1875,26.375,26,26,26.1875,25.8125,26,25.875,26,26,26,26.0625,26.25,
7/24/2023,3,4,26.5625,26.625,26.625,26.25,26.625,26.375,26.125,26.25,26.4375,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.8125,25.875,25.9375,25.8125,26,26.125,
7/24/2023,4,5,26.625,26.6875,26.6875,26.25,26.6875,26.375,26.125,26.3125,26.4375,26.375,26.25,26.1875,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,25.875,25.875,26,26.125,
7/24/2023,5,6,26.5625,26.625,26.625,26.25,26.625,26.375,26.125,26.25,26.375,26.375,26.25,26.125,26.25,25.875,25.875,26.0625,25.75,26,25.8125,25.875,25.875,25.875,26,26.125,
7/24/2023,6,7,26.625,26.625,26.625,26.25,26.625,26.375,26.125,26.25,26.4375,26.375,26.25,26.125,26.25,25.875,25.875,26.125,25.75,26,25.8125,25.875,25.875,25.875,26,26.125,
7/24/2023,7,8,26.625,26.6875,26.6875,26.25,26.625,26.375,26.125,26.25,26.4375,26.375,26.25,26.0625,26.25,25.875,25.875,26.125,25.75,26,25.875,25.875,25.9375,25.875,26,26.125,
7/24/2023,8,9,26.8125,26.9375,26.9375,26.5,26.9375,26.625,26.4375,26.5625,26.6875,26.5625,26.5625,26.3125,26.5,26.25,26.1875,26.375,26,26.25,26.125,26.25,26.25,26.0625,26.3125,26.3125,
7/24/2023,9,10,26.9375,27,27.0625,26.625,27,26.75,26.5,26.6875,26.8125,26.6875,26.625,26.5625,26.75,26.4375,26.5,26.625,26.25,26.5,26.375,26.4375,26.5,26.3125,26.4375,26.625,
7/24/2023,10,11,27.125,27.25,27.3125,26.8125,27.3125,27,26.75,26.9375,27.125,26.9375,26.875,26.75,27.125,26.75,26.8125,27,26.5625,26.875,26.8125,26.6875,26.875,26.625,26.8125,26.875,
7/24/2023,11,12,27.25,27.375,27.4375,26.875,27.5,27.125,26.9375,27.125,27.1875,27.125,27.0625,26.875,27.25,26.875,26.875,27.0625,26.625,27,26.9375,26.75,26.9375,26.6875,26.875,27,
7/24/2023,12,13,27.25,27.375,27.5,26.875,27.5,27.0625,26.875,27.125,27.125,27.125,27,26.875,27.25,26.875,26.9375,27.0625,26.6875,26.9375,26.9375,26.8125,26.9375,26.6875,26.9375,27.0625,
7/24/2023,13,14,27.125,27.375,27.375,26.875,27.375,27,26.8125,27,27.125,27,26.875,26.875,27.4375,27,27.0625,27.1875,26.8125,27.125,27.0625,27,27.0625,26.8125,27.0625,27.125,
7/24/2023,14,15,27.125,27.3125,27.3125,26.875,27.375,27,26.875,27.0625,27.125,27.0625,27,26.875,27.3125,26.875,27,27.125,26.6875,27,27,26.875,27,26.75,27,27.0625,
7/24/2023,15,16,27.25,27.375,27.4375,26.875,27.5,27.0625,26.9375,27.0625,27.1875,27.1875,27.0625,27,27.5,27.0625,27.125,27.25,26.875,27.25,27.125,27.0625,27.25,26.9375,27.125,27.25,
7/24/2023,16,17,27.125,27.375,27.4375,26.875,27.5,27,26.875,27.125,27.0625,27.0625,27,26.8125,27.3125,26.9375,26.9375,27.0625,26.625,27.0625,26.9375,26.8125,27.0625,26.6875,26.9375,27.0625,
7/24/2023,17,18,27.375,27.5625,27.625,27,27.5625,27.25,27.0625,27.3125,27.3125,27.25,27.1875,26.8125,27.3125,26.875,27,27.125,26.625,27,26.875,26.8125,26.9375,26.75,27,27.125,
7/24/2023,18,19,27.0625,27.1875,27.25,26.75,27.25,26.875,26.75,26.875,26.9375,26.875,26.75,26.6875,27.1875,26.6875,26.8125,26.9375,26.5625,26.6875,26.5625,26.5625,26.6875,26.5,26.75,26.9375,
7/24/2023,19,20,26.875,26.9375,26.9375,26.5625,26.9375,26.625,26.4375,26.5625,26.6875,26.625,26.5625,26.625,27.0625,26.5625,26.6875,26.8125,26.375,26.5625,26.375,26.5,26.5625,26.375,26.5625,26.8125,
7/24/2023,20,21,26.75,26.875,26.875,26.5,26.875,26.625,26.375,26.5,26.625,26.625,26.5,26.625,27,26.5,26.625,26.75,26.25,26.5,26.375,26.375,26.5,26.3125,26.5,26.75,
7/24/2023,21,22,26.75,26.875,26.875,26.4375,26.8125,26.5625,26.375,26.5,26.625,26.5625,26.4375,26.625,27,26.5,26.625,26.875,26.375,26.5,26.375,26.4375,26.5,26.375,26.5,26.875,
7/24/2023,22,23,26.625,26.75,26.75,26.3125,26.6875,26.4375,26.25,26.3125,26.4375,26.4375,26.3125,26.4375,26.9375,26.4375,26.5625,26.6875,26.1875,26.4375,26.3125,26.3125,26.4375,26.25,26.4375,26.6875,
7/24/2023,23,24,26.625,26.6875,26.6875,26.25,26.6875,26.375,26.1875,26.3125,26.4375,26.375,26.25,26.375,26.875,26.3125,26.5,26.6875,26.1875,26.375,26.1875,26.1875,26.375,26.1875,26.375,26.6875,
7/25/2023,0,25,26.4375,26.5,26.5,26.125,26.4375,26.1875,26,26.0625,26.1875,26.125,26.0625,26.3125,26.6875,26.0625,26.3125,26.4375,25.9375,26.1875,26,26,26.1875,26,26.1875,26.4375,
