Date,Hour,Timepoint,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA9,PA10,PA11,PA12,PH1,PH2,PH3,PH4,PH5,PH6,PH7,PH8,PH9,PH10,PH11,PH12,PCOM-SOURCE
7/24/2023,0,1,25.75,26.0625,26.0625,26.1875,26.1875,26.1875,26.1875,26.1875,26.25,26.1875,26.1875,26.3125,25.625,25.8125,25.8125,25.8125,25.625,25.9375,25.875,25.75,25.75,26,25.625,25.6875,26.5625
7/24/2023,1,2,25.6875,26,26,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.125,26.25,25.5,25.75,25.75,25.6875,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
7/24/2023,2,3,25.6875,26,26.0625,26.125,26.0625,26.125,26.125,26.125,26.1875,26.125,26.125,26.25,25.5,25.75,25.75,25.6875,25.5,25.875,25.75,25.625,25.625,25.875,25.5,25.625,26.5
7/24/2023,3,4,25.75,26,26.125,26.125,26.125,26.1875,26.125,26.125,26.25,26.125,26.125,26.3125,25.5,25.75,25.75,25.6875,25.5625,25.875,25.8125,25.6875,25.6875,25.875,25.5625,25.625,26.5
7/24/2023,4,5,25.75,26.0625,26.125,26.1875,26.1875,26.1875,26.1875,26.1875,26.25,26.1875,26.125,26.3125,25.5625,25.8125,25.8125,25.75,25.625,25.9375,25.8125,25.6875,25.6875,25.9375,25.5625,25.6875,26.4375
7/24/2023,5,6,25.625,26,26,26.125,26,26.125,26.0625,26.125,26.125,26,26,26.25,25.4375,25.6875,25.6875,25.625,25.5,25.8125,25.75,25.5625,25.5625,25.8125,25.4375,25.5625,26.375
7/24/2023,6,7,25.625,26,26.0625,26.125,26.125,26.125,26.125,26.125,26.25,26.125,26,26.25,25.5,25.75,25.75,25.75,25.625,25.875,25.8125,25.625,25.625,25.875,25.5,25.625,26.3125
7/24/2023,7,8,25.6875,26,26.0625,26.125,26.0625,26.125,26.125,26.125,26.1875,26.0625,26,26.3125,25.5,25.6875,25.6875,25.6875,25.5625,25.8125,25.8125,25.5625,25.5625,25.8125,25.4375,25.5625,26.25
7/24/2023,8,9,26.25,26.5,26.6875,26.75,26.5625,26.6875,26.6875,26.6875,26.8125,26.625,26.5625,26.75,26.0625,26.3125,26.3125,26.25,26.1875,26.4375,26.375,26.25,26.25,26.4375,26.1875,26.1875,26.4375
7/24/2023,9,10,26.5625,26.6875,27,26.9375,26.8125,26.9375,26.8125,26.8125,26.9375,26.8125,26.6875,27.125,26.5,26.75,26.75,26.6875,26.625,26.875,26.8125,26.6875,26.6875,26.9375,26.625,26.625,26.5
7/24/2023,10,11,26.9375,27.0625,27.4375,27.3125,27.0625,27.375,27.25,27.125,27.3125,27,26.9375,27.25,26.9375,27.1875,27.0625,27.0625,26.9375,27.1875,27.125,27,27,27.125,26.75,26.75,26.625
