"variable","DHH","DHScore","DHD","Treatment","DHH9.5","DHScore9.5","DHH9.7","DHScore9.7","DHH9.8","DHScore9.8","DHH9.9","DHScore9.9","DHH9.10","DHScore9.10","DHH9.11","DHScore9.11"
"PH1",155,79.96,6.458,"Guano",92,43.84,133,75.76,139,77.1,145,78.13,152,79.29,155,79.96
"PH2",226,186.2,9.417,"Guano",125,122.8,169,169.1,188,175.4,204,179.5,218,183.8,226,186.2
"PH3",245,185.6,10.21,"Guano",124,119.4,168,162.4,187,168.4,206,174.8,227,180.8,239,185
"PH4",196,133.7,8.167,"Control",113,84.68,153,120.1,162,123.2,172,125.7,186,129.9,194,133.1
"PH5",202,183.5,8.417,"Control",124,137.6,165,173.3,178,176.6,186,179.5,196,181.6,200,183.4
"PH6",167,97.94,6.958,"Control",111,65.65,150,95.49,155,96.6,160,97.16,164,97.73,167,97.94
"PH7",219,162.3,9.125,"Inorganic",117,94.75,163,144.5,181,150.6,196,155.7,212,160,219,162.3
"PH8",186,109.5,7.75,"Inorganic",115,71.99,154,101.5,164,104.1,173,106.4,180,108,186,109.5
"PH9",203,162.7,8.458,"Inorganic",123,116.2,163,151.7,175,155.7,184,158,194,160.7,201,162.6
"PH10",221,178,9.208,"Effluent",119,103.1,163,152.4,179,160,194,165.6,209,171.7,217,176.7
"PH11",181.8,133,7.576,"Effluent",106.7,87.5,144.5,121.7,155.4,125.2,164.9,128,174.9,130.8,180.5,132.7
"PH12",162,116.2,6.75,"Effluent",117,90.02,153,114.3,157,115.2,159,115.7,161,115.9,162,116.2
