Date,Treatment,true.value,DHH
7/24/2023,AMB-Control,26.39739023,
7/24/2023,AMB-Effluent,26.26107751,
7/24/2023,AMB-Guano,26.14800627,
7/24/2023,AMB-Inorganic,26.29764785,
7/24/2023,HEAT-Control,26.1578069,
7/24/2023,HEAT-Effluent,26.01286962,
7/24/2023,HEAT-Guano,26.01124552,
7/24/2023,HEAT-Inorganic,26.07234543,
7/25/2023,AMB-Control,26.47638329,
7/25/2023,AMB-Effluent,26.34267473,
7/25/2023,AMB-Guano,26.23567988,
7/25/2023,AMB-Inorganic,26.38271729,
7/25/2023,HEAT-Control,26.42169579,
7/25/2023,HEAT-Effluent,26.27936268,
7/25/2023,HEAT-Guano,26.26818996,
7/25/2023,HEAT-Inorganic,26.36227599,
7/26/2023,AMB-Control,26.61961246,
7/26/2023,AMB-Effluent,26.49892473,
7/26/2023,AMB-Guano,26.42404794,
7/26/2023,AMB-Inorganic,26.54764785,
7/26/2023,HEAT-Control,26.52065412,
7/26/2023,HEAT-Effluent,26.36356407,
7/26/2023,HEAT-Guano,26.40534274,
7/26/2023,HEAT-Inorganic,26.4577621,
7/27/2023,AMB-Control,26.58141801,
7/27/2023,AMB-Effluent,26.43468862,
7/27/2023,AMB-Guano,26.39453405,
7/27/2023,AMB-Inorganic,26.49296035,
7/27/2023,HEAT-Control,26.43732079,
7/27/2023,HEAT-Effluent,26.31582101,
7/27/2023,HEAT-Guano,26.34023858,
7/27/2023,HEAT-Inorganic,26.38310932,
7/28/2023,AMB-Control,26.14565412,
7/28/2023,AMB-Effluent,26.00413306,
7/28/2023,AMB-Guano,25.99349238,
7/28/2023,AMB-Inorganic,26.07195341,
7/28/2023,HEAT-Control,25.85051523,
7/28/2023,HEAT-Effluent,25.71425851,
7/28/2023,HEAT-Guano,25.77773858,
7/28/2023,HEAT-Inorganic,25.78415099,
7/29/2023,AMB-Control,26.34270273,
7/29/2023,AMB-Effluent,26.22548723,
7/29/2023,AMB-Guano,26.16623544,
7/29/2023,AMB-Inorganic,26.25424507,
7/29/2023,HEAT-Control,26.00676523,
7/29/2023,HEAT-Effluent,25.88613351,
7/29/2023,HEAT-Guano,25.9296483,
7/29/2023,HEAT-Inorganic,25.92303987,
7/30/2023,AMB-Control,26.26110551,
7/30/2023,AMB-Effluent,26.16038306,
7/30/2023,AMB-Guano,26.12804099,
7/30/2023,AMB-Inorganic,26.19087702,
7/30/2023,HEAT-Control,25.98766801,
7/30/2023,HEAT-Effluent,25.87832101,
7/30/2023,HEAT-Guano,25.92096774,
7/30/2023,HEAT-Inorganic,25.90047043,
7/31/2023,AMB-Control,26.13784162,
7/31/2023,AMB-Effluent,26.08399418,
7/31/2023,AMB-Guano,25.98047155,
7/31/2023,AMB-Inorganic,26.09625896,
7/31/2023,HEAT-Control,25.79756384,
7/31/2023,HEAT-Effluent,25.73335573,
7/31/2023,HEAT-Guano,25.69700941,
7/31/2023,HEAT-Inorganic,25.73814404,
8/1/2023,AMB-Control,26.08662634,
8/1/2023,AMB-Effluent,25.96333445,
8/1/2023,AMB-Guano,25.92752016,
8/1/2023,AMB-Inorganic,26.01726591,
8/1/2023,HEAT-Control,25.68992496,
8/1/2023,HEAT-Effluent,25.58491823,
8/1/2023,HEAT-Guano,25.61454413,
8/1/2023,HEAT-Inorganic,25.61053987,
8/2/2023,AMB-Control,26.17082773,
8/2/2023,AMB-Effluent,26.03451501,
8/2/2023,AMB-Guano,25.97613127,
8/2/2023,AMB-Inorganic,26.12577285,
8/2/2023,HEAT-Control,25.9703069,
8/2/2023,HEAT-Effluent,25.86356407,
8/2/2023,HEAT-Guano,25.87235663,
8/2/2023,HEAT-Inorganic,25.8874496,
8/3/2023,AMB-Control,26.1343694,
8/3/2023,AMB-Effluent,25.9546539,
8/3/2023,AMB-Guano,25.97526322,
8/3/2023,AMB-Inorganic,26.06674507,
8/3/2023,HEAT-Control,26.22551523,
8/3/2023,HEAT-Effluent,26.14568212,
8/3/2023,HEAT-Guano,26.11541219,
8/3/2023,HEAT-Inorganic,26.15133849,
8/4/2023,AMB-Control,25.88089718,
8/4/2023,AMB-Effluent,25.73677195,
8/4/2023,AMB-Guano,25.70182572,
8/4/2023,AMB-Inorganic,25.84105063,
8/4/2023,HEAT-Control,26.17950829,
8/4/2023,HEAT-Effluent,26.15089046,
8/4/2023,HEAT-Guano,26.0312108,
8/4/2023,HEAT-Inorganic,26.13571349,
8/5/2023,AMB-Control,26.11353607,
8/5/2023,AMB-Effluent,25.96507056,
8/5/2023,AMB-Guano,25.92231183,
8/5/2023,AMB-Inorganic,26.07455757,
8/5/2023,HEAT-Control,26.14652218,
8/5/2023,HEAT-Effluent,26.09967518,
8/5/2023,HEAT-Guano,25.99648858,
8/5/2023,HEAT-Inorganic,26.07928987,
8/6/2023,AMB-Control,26.3843694,
8/6/2023,AMB-Effluent,26.24198029,
8/6/2023,AMB-Guano,26.23133961,
8/6/2023,AMB-Inorganic,26.35754368,
8/6/2023,HEAT-Control,26.34877912,
8/6/2023,HEAT-Effluent,26.30366823,
8/6/2023,HEAT-Guano,26.23259969,
8/6/2023,HEAT-Inorganic,26.29109543,
8/7/2023,AMB-Control,26.51284162,
8/7/2023,AMB-Effluent,26.38260529,
8/7/2023,AMB-Guano,26.35633961,
8/7/2023,AMB-Inorganic,26.45042563,
8/7/2023,HEAT-Control,26.42256384,
8/7/2023,HEAT-Effluent,26.35401546,
8/7/2023,HEAT-Guano,26.35586358,
8/7/2023,HEAT-Inorganic,26.3718246,
8/8/2023,AMB-Control,26.34791107,
8/8/2023,AMB-Effluent,26.17861223,
8/8/2023,AMB-Guano,26.10894377,
8/8/2023,AMB-Inorganic,26.20997424,
8/8/2023,HEAT-Control,26.27673051,
8/8/2023,HEAT-Effluent,26.13352935,
8/8/2023,HEAT-Guano,26.19093302,
8/8/2023,HEAT-Inorganic,26.22425515,
8/9/2023,AMB-Control,26.17256384,
8/9/2023,AMB-Effluent,26.00500112,
8/9/2023,AMB-Guano,25.93880488,
8/9/2023,AMB-Inorganic,26.03028674,
8/9/2023,HEAT-Control,26.14825829,
8/9/2023,HEAT-Effluent,26.0172099,
8/9/2023,HEAT-Guano,26.05204413,
8/9/2023,HEAT-Inorganic,26.12529682,
8/10/2023,AMB-Control,25.89895833,
8/10/2023,AMB-Effluent,25.78943399,
8/10/2023,AMB-Guano,25.73944146,
8/10/2023,AMB-Inorganic,25.78144415,
8/10/2023,HEAT-Control,25.78454301,
8/10/2023,HEAT-Effluent,25.75766129,
8/10/2023,HEAT-Guano,25.81911589,
8/10/2023,HEAT-Inorganic,25.8182945,
8/11/2023,AMB-Control,26.24010417,
8/11/2023,AMB-Effluent,26.22635529,
8/11/2023,AMB-Guano,26.17665211,
8/11/2023,AMB-Inorganic,26.20216174,
