"Date","Treatment","true.value"
2023-07-24,"AMB-Control",26.3973902329749
2023-07-24,"AMB-Effluent",26.2610775089606
2023-07-24,"AMB-Guano",26.1480062724014
2023-07-24,"AMB-Inorganic",26.2976478494624
2023-07-24,"HEAT-Control",26.1578068996416
2023-07-24,"HEAT-Effluent",26.0128696236559
2023-07-24,"HEAT-Guano",26.0112455197133
2023-07-24,"HEAT-Inorganic",26.0723454301075
2023-07-25,"AMB-Control",26.4763832885305
2023-07-25,"AMB-Effluent",26.3426747311828
2023-07-25,"AMB-Guano",26.2356798835125
2023-07-25,"AMB-Inorganic",26.3827172939068
2023-07-25,"HEAT-Control",26.4216957885305
2023-07-25,"HEAT-Effluent",26.2793626792115
2023-07-25,"HEAT-Guano",26.2681899641577
2023-07-25,"HEAT-Inorganic",26.3622759856631
2023-07-26,"AMB-Control",26.6196124551971
2023-07-26,"AMB-Effluent",26.4989247311828
2023-07-26,"AMB-Guano",26.4240479390681
2023-07-26,"AMB-Inorganic",26.5476478494624
2023-07-26,"HEAT-Control",26.5206541218638
2023-07-26,"HEAT-Effluent",26.3635640681004
2023-07-26,"HEAT-Guano",26.4053427419355
2023-07-26,"HEAT-Inorganic",26.4577620967742
2023-07-27,"AMB-Control",26.5814180107527
2023-07-27,"AMB-Effluent",26.4346886200717
2023-07-27,"AMB-Guano",26.3945340501792
2023-07-27,"AMB-Inorganic",26.4929603494624
2023-07-27,"HEAT-Control",26.4373207885305
2023-07-27,"HEAT-Effluent",26.3158210125448
2023-07-27,"HEAT-Guano",26.3402385752688
2023-07-27,"HEAT-Inorganic",26.3831093189964
2023-07-28,"AMB-Control",26.1456541218638
2023-07-28,"AMB-Effluent",26.0041330645161
2023-07-28,"AMB-Guano",25.9934923835125
2023-07-28,"AMB-Inorganic",26.0719534050179
2023-07-28,"HEAT-Control",25.8505152329749
2023-07-28,"HEAT-Effluent",25.7142585125448
2023-07-28,"HEAT-Guano",25.7777385752688
2023-07-28,"HEAT-Inorganic",25.7841509856631
2023-07-29,"AMB-Control",26.3427027329749
2023-07-29,"AMB-Effluent",26.2254872311828
2023-07-29,"AMB-Guano",26.1662354390681
2023-07-29,"AMB-Inorganic",26.2542450716846
2023-07-29,"HEAT-Control",26.0067652329749
2023-07-29,"HEAT-Effluent",25.8861335125448
2023-07-29,"HEAT-Guano",25.929648297491
2023-07-29,"HEAT-Inorganic",25.923039874552
2023-07-30,"AMB-Control",26.2611055107527
2023-07-30,"AMB-Effluent",26.1603830645161
2023-07-30,"AMB-Guano",26.1280409946237
2023-07-30,"AMB-Inorganic",26.190877016129
2023-07-30,"HEAT-Control",25.9876680107527
2023-07-30,"HEAT-Effluent",25.8783210125448
2023-07-30,"HEAT-Guano",25.9209677419355
2023-07-30,"HEAT-Inorganic",25.9004704301075
2023-07-31,"AMB-Control",26.1378416218638
2023-07-31,"AMB-Effluent",26.0839941756272
2023-07-31,"AMB-Guano",25.9804715501792
2023-07-31,"AMB-Inorganic",26.0962589605735
2023-07-31,"HEAT-Control",25.797563844086
2023-07-31,"HEAT-Effluent",25.733355734767
2023-07-31,"HEAT-Guano",25.6970094086021
2023-07-31,"HEAT-Inorganic",25.7381440412186
2023-08-01,"AMB-Control",26.086626344086
2023-08-01,"AMB-Effluent",25.963334453405
2023-08-01,"AMB-Guano",25.9275201612903
2023-08-01,"AMB-Inorganic",26.0172659050179
2023-08-01,"HEAT-Control",25.6899249551971
2023-08-01,"HEAT-Effluent",25.584918234767
