Date_Time,variable,value
7/24/2023 0:01,PA1,25.875
7/24/2023 0:31,PA1,25.625
7/24/2023 1:01,PA1,25.75
7/24/2023 1:31,PA1,25.625
7/24/2023 2:01,PA1,25.625
7/24/2023 2:31,PA1,25.75
7/24/2023 3:01,PA1,25.75
7/24/2023 3:31,PA1,25.75
7/24/2023 4:01,PA1,25.875
7/24/2023 4:31,PA1,25.625
7/24/2023 5:01,PA1,25.625
7/24/2023 5:31,PA1,25.625
7/24/2023 6:01,PA1,25.625
7/24/2023 6:31,PA1,25.625
7/24/2023 7:01,PA1,25.75
7/24/2023 7:31,PA1,25.625
7/24/2023 8:01,PA1,26.125
7/24/2023 8:31,PA1,26.375
7/24/2023 9:01,PA1,26.5
7/24/2023 9:31,PA1,26.625
7/24/2023 10:01,PA1,26.625
7/24/2023 10:31,PA1,27.25
7/24/2023 11:01,PA1,27.125
7/24/2023 11:31,PA1,27.125
7/24/2023 12:01,PA1,27
7/24/2023 12:31,PA1,26.875
7/24/2023 13:01,PA1,26.875
7/24/2023 13:31,PA1,26.75
7/24/2023 14:01,PA1,26.75
7/24/2023 14:31,PA1,26.75
7/24/2023 15:01,PA1,26.875
7/24/2023 15:31,PA1,26.75
7/24/2023 16:01,PA1,26.75
7/24/2023 16:31,PA1,26.625
7/24/2023 17:01,PA1,26.625
7/24/2023 17:31,PA1,26.625
7/24/2023 18:01,PA1,26.5
7/24/2023 18:31,PA1,26.25
7/24/2023 19:01,PA1,26.25
7/24/2023 19:31,PA1,26.25
7/24/2023 20:01,PA1,26.25
7/24/2023 20:31,PA1,26.25
7/24/2023 21:01,PA1,26.25
7/24/2023 21:31,PA1,26.25
7/24/2023 22:01,PA1,26.125
7/24/2023 22:31,PA1,26
7/24/2023 23:01,PA1,26
7/24/2023 23:31,PA1,26.125
7/25/2023 0:01,PA1,25.75
7/25/2023 0:31,PA1,25.875
7/25/2023 1:01,PA1,25.875
7/25/2023 1:31,PA1,25.875
7/25/2023 2:01,PA1,25.875
7/25/2023 2:31,PA1,25.875
7/25/2023 3:01,PA1,25.75
7/25/2023 3:31,PA1,25.875
7/25/2023 4:01,PA1,25.75
7/25/2023 4:31,PA1,25.75
7/25/2023 5:01,PA1,25.75
7/25/2023 5:31,PA1,25.75
7/25/2023 6:01,PA1,25.75
7/25/2023 6:31,PA1,25.75
7/25/2023 7:01,PA1,25.75
7/25/2023 7:31,PA1,25.75
7/25/2023 8:01,PA1,25.875
7/25/2023 8:31,PA1,26
7/25/2023 9:01,PA1,26.25
7/25/2023 9:31,PA1,26.25
7/25/2023 10:01,PA1,26.625
7/25/2023 10:31,PA1,27.125
7/25/2023 11:01,PA1,27.625
7/25/2023 11:31,PA1,27.75
7/25/2023 12:01,PA1,27.375
7/25/2023 12:31,PA1,27.125
7/25/2023 13:01,PA1,27
7/25/2023 13:31,PA1,26.875
7/25/2023 14:01,PA1,27.125
7/25/2023 14:31,PA1,27.25
7/25/2023 15:01,PA1,27.125
7/25/2023 15:31,PA1,27
7/25/2023 16:01,PA1,26.875
7/25/2023 16:31,PA1,26.75
7/25/2023 17:01,PA1,26.625
7/25/2023 17:31,PA1,26.5
7/25/2023 18:01,PA1,26.375
7/25/2023 18:31,PA1,26.375
7/25/2023 19:01,PA1,26.25
7/25/2023 19:31,PA1,26.25
7/25/2023 20:01,PA1,26.125
7/25/2023 20:31,PA1,26.125
7/25/2023 21:01,PA1,26.25
7/25/2023 21:31,PA1,26.125
7/25/2023 22:01,PA1,26.125
7/25/2023 22:31,PA1,26.125
7/25/2023 23:01,PA1,26.125
7/25/2023 23:31,PA1,26.125
7/26/2023 0:01,PA1,26.125
7/26/2023 0:31,PA1,26.125
7/26/2023 1:01,PA1,26.125
7/26/2023 1:31,PA1,26
7/26/2023 2:01,PA1,26
7/26/2023 2:31,PA1,26
7/26/2023 3:01,PA1,25.75
7/26/2023 3:31,PA1,25.875
7/26/2023 4:01,PA1,25.875
7/26/2023 4:31,PA1,25.875
7/26/2023 5:01,PA1,25.875
7/26/2023 5:31,PA1,25.875
7/26/2023 6:01,PA1,25.875
7/26/2023 6:31,PA1,25.875
7/26/2023 7:01,PA1,26
7/26/2023 7:31,PA1,26
7/26/2023 8:01,PA1,26.125
7/26/2023 8:31,PA1,26.375
7/26/2023 9:01,PA1,26.625
7/26/2023 9:31,PA1,27
7/26/2023 10:01,PA1,27.375
7/26/2023 10:31,PA1,27.125
7/26/2023 11:01,PA1,28
7/26/2023 11:31,PA1,28.75
7/26/2023 12:01,PA1,28.25
7/26/2023 12:31,PA1,27.75
7/26/2023 13:01,PA1,27.5
7/26/2023 13:31,PA1,27.5
7/26/2023 14:01,PA1,27.625
7/26/2023 14:31,PA1,27.375
7/26/2023 15:01,PA1,27.25
7/26/2023 15:31,PA1,26.875
7/26/2023 16:01,PA1,26.75
7/26/2023 16:31,PA1,26.75
7/26/2023 17:01,PA1,26.625
7/26/2023 17:31,PA1,26.625
7/26/2023 18:01,PA1,26.5
7/26/2023 18:31,PA1,26.5
7/26/2023 19:01,PA1,26.375
7/26/2023 19:31,PA1,26.25
7/26/2023 20:01,PA1,26.25
7/26/2023 20:31,PA1,26.125
7/26/2023 21:01,PA1,26.125
7/26/2023 21:31,PA1,26
7/26/2023 22:01,PA1,26
7/26/2023 22:31,PA1,25.875
7/26/2023 23:01,PA1,26
7/26/2023 23:31,PA1,25.75
7/27/2023 0:01,PA1,25.75
7/27/2023 0:31,PA1,25.75
7/27/2023 1:01,PA1,25.75
7/27/2023 1:31,PA1,25.625
7/27/2023 2:01,PA1,25.625
7/27/2023 2:31,PA1,25.625
7/27/2023 3:01,PA1,25.5
7/27/2023 3:31,PA1,25.5
7/27/2023 4:01,PA1,25.625
7/27/2023 4:31,PA1,25.625
7/27/2023 5:01,PA1,25.75
7/27/2023 5:31,PA1,25.75
7/27/2023 6:01,PA1,25.75
7/27/2023 6:31,PA1,25.75
7/27/2023 7:01,PA1,25.875
7/27/2023 7:31,PA1,25.875
7/27/2023 8:01,PA1,26.5
7/27/2023 8:31,PA1,26.875
7/27/2023 9:01,PA1,26.75
7/27/2023 9:31,PA1,27
7/27/2023 10:01,PA1,27.125
7/27/2023 10:31,PA1,27.625
7/27/2023 11:01,PA1,28.625
7/27/2023 11:31,PA1,28.875
7/27/2023 12:01,PA1,28.375
7/27/2023 12:31,PA1,28
7/27/2023 13:01,PA1,27.75
7/27/2023 13:31,PA1,27.625
