"variable","Treatment","DHScore","Cumulative_DHH","start_date","end_date"
"MH1","HEAT-Guano",0,0,2023-07-24,2023-08-29
"MH10","HEAT-Effluent",0,0,2023-07-24,2023-08-29
"MH11","HEAT-Effluent",0,0,2023-07-24,2023-08-29
"MH12","HEAT-Effluent",0,0,2023-07-24,2023-08-29
"MH2","HEAT-Guano",0,0,2023-07-24,2023-08-29
"MH3","HEAT-Guano",0,0,2023-07-24,2023-08-29
"MH4","HEAT-Control",0,0,2023-07-24,2023-08-29
"MH5","HEAT-Control",0,0,2023-07-24,2023-08-29
"MH6","HEAT-Control",0,0,2023-07-24,2023-08-29
"MH7","HEAT-Inorganic",0,0,2023-07-24,2023-08-29
"MH8","HEAT-Inorganic",0,0,2023-07-24,2023-08-29
"MH9","HEAT-Inorganic",0,0,2023-07-24,2023-08-29
"MH1","HEAT-Guano",2.9,87,2023-07-24,2023-09-03
"MH10","HEAT-Effluent",1.8,80,2023-07-24,2023-09-03
"MH11","HEAT-Effluent",1.3,76,2023-07-24,2023-09-03
"MH12","HEAT-Effluent",2.9,87,2023-07-24,2023-09-03
"MH2","HEAT-Guano",4.1,88,2023-07-24,2023-09-03
"MH3","HEAT-Guano",1.6,78,2023-07-24,2023-09-03
"MH4","HEAT-Control",2.4,87,2023-07-24,2023-09-03
"MH5","HEAT-Control",4.1,88,2023-07-24,2023-09-03
"MH6","HEAT-Control",3.4,86,2023-07-24,2023-09-03
"MH7","HEAT-Inorganic",4,91,2023-07-24,2023-09-03
"MH8","HEAT-Inorganic",3.4,87,2023-07-24,2023-09-03
"MH9","HEAT-Inorganic",3.4,87,2023-07-24,2023-09-03
"MH1","HEAT-Guano",3.7,108,2023-07-24,2023-09-04
"MH10","HEAT-Effluent",2.3,98,2023-07-24,2023-09-04
"MH11","HEAT-Effluent",1.6,92,2023-07-24,2023-09-04
"MH12","HEAT-Effluent",3.7,108,2023-07-24,2023-09-04
"MH2","HEAT-Guano",5.1,112,2023-07-24,2023-09-04
"MH3","HEAT-Guano",2,94,2023-07-24,2023-09-04
"MH4","HEAT-Control",3,108,2023-07-24,2023-09-04
"MH5","HEAT-Control",5,112,2023-07-24,2023-09-04
"MH6","HEAT-Control",4.2,108,2023-07-24,2023-09-04
"MH7","HEAT-Inorganic",4.8,115,2023-07-24,2023-09-04
"MH8","HEAT-Inorganic",4.1,109,2023-07-24,2023-09-04
"MH9","HEAT-Inorganic",4,109,2023-07-24,2023-09-04
"MH1","HEAT-Guano",3.7,116,2023-07-24,2023-09-05
"MH10","HEAT-Effluent",2.3,102,2023-07-24,2023-09-05
"MH11","HEAT-Effluent",1.6,93,2023-07-24,2023-09-05
"MH12","HEAT-Effluent",3.8,114,2023-07-24,2023-09-05
"MH2","HEAT-Guano",5.5,124,2023-07-24,2023-09-05
"MH3","HEAT-Guano",2,96,2023-07-24,2023-09-05
"MH4","HEAT-Control",3,113,2023-07-24,2023-09-05
"MH5","HEAT-Control",5.1,122,2023-07-24,2023-09-05
"MH6","HEAT-Control",4.2,114,2023-07-24,2023-09-05
"MH7","HEAT-Inorganic",4.9,123,2023-07-24,2023-09-05
"MH8","HEAT-Inorganic",4.1,115,2023-07-24,2023-09-05
"MH9","HEAT-Inorganic",4,117,2023-07-24,2023-09-05
"MH1","HEAT-Guano",3.7,126,2023-07-24,2023-09-06
"MH10","HEAT-Effluent",2.3,112,2023-07-24,2023-09-06
"MH11","HEAT-Effluent",1.6,94,2023-07-24,2023-09-06
"MH12","HEAT-Effluent",3.8,122,2023-07-24,2023-09-06
"MH2","HEAT-Guano",5.6,136,2023-07-24,2023-09-06
"MH3","HEAT-Guano",2,99,2023-07-24,2023-09-06
"MH4","HEAT-Control",3,120,2023-07-24,2023-09-06
"MH5","HEAT-Control",5.1,132,2023-07-24,2023-09-06
"MH6","HEAT-Control",4.2,121,2023-07-24,2023-09-06
"MH7","HEAT-Inorganic",4.9,133,2023-07-24,2023-09-06
"MH8","HEAT-Inorganic",4.1,124,2023-07-24,2023-09-06
"MH9","HEAT-Inorganic",4,123,2023-07-24,2023-09-06
"MH1","HEAT-Guano",3.7,140,2023-07-24,2023-09-07
"MH10","HEAT-Effluent",2.3,124,2023-07-24,2023-09-07
"MH11","HEAT-Effluent",1.6,94,2023-07-24,2023-09-07
"MH12","HEAT-Effluent",3.8,131,2023-07-24,2023-09-07
"MH2","HEAT-Guano",5.7,154,2023-07-24,2023-09-07
"MH3","HEAT-Guano",2,105,2023-07-24,2023-09-07
"MH4","HEAT-Control",3,125,2023-07-24,2023-09-07
"MH5","HEAT-Control",5.1,143,2023-07-24,2023-09-07
"MH6","HEAT-Control",4.2,129,2023-07-24,2023-09-07
"MH7","HEAT-Inorganic",4.9,147,2023-07-24,2023-09-07
"MH8","HEAT-Inorganic",4.1,134,2023-07-24,2023-09-07
"MH9","HEAT-Inorganic",4,129,2023-07-24,2023-09-07
