"Treatment","end_date","DHScore","Cumulative_DHH","start_date"
"HEAT-Control",2023-08-29,0,0,2023-07-24
"HEAT-Control",2023-09-03,3.3,87,2023-07-24
"HEAT-Control",2023-09-04,4.067,109.3,2023-07-24
"HEAT-Control",2023-09-05,4.1,116.3,2023-07-24
"HEAT-Control",2023-09-06,4.1,124.3,2023-07-24
"HEAT-Control",2023-09-07,4.1,132.3,2023-07-24
"HEAT-Effluent",2023-08-29,0,0,2023-07-24
"HEAT-Effluent",2023-09-03,2,81,2023-07-24
"HEAT-Effluent",2023-09-04,2.533,99.33,2023-07-24
"HEAT-Effluent",2023-09-05,2.567,103,2023-07-24
"HEAT-Effluent",2023-09-06,2.567,109.3,2023-07-24
"HEAT-Effluent",2023-09-07,2.567,116.3,2023-07-24
"HEAT-Guano",2023-08-29,0,0,2023-07-24
"HEAT-Guano",2023-09-03,2.867,84.33,2023-07-24
"HEAT-Guano",2023-09-04,3.6,104.7,2023-07-24
"HEAT-Guano",2023-09-05,3.733,112,2023-07-24
"HEAT-Guano",2023-09-06,3.767,120.3,2023-07-24
"HEAT-Guano",2023-09-07,3.8,133,2023-07-24
"HEAT-Inorganic",2023-08-29,0,0,2023-07-24
"HEAT-Inorganic",2023-09-03,3.6,88.33,2023-07-24
"HEAT-Inorganic",2023-09-04,4.3,111,2023-07-24
"HEAT-Inorganic",2023-09-05,4.333,118.3,2023-07-24
"HEAT-Inorganic",2023-09-06,4.333,126.7,2023-07-24
"HEAT-Inorganic",2023-09-07,4.333,136.7,2023-07-24
