"Treatment","end_date","DHScore","Cumulative_DHH","start_date"
"HEAT-Control",2023-09-05,4.067,116,2023-07-24
"HEAT-Control",2023-09-07,5.4,156,2023-07-24
"HEAT-Control",2023-09-08,5.433,165,2023-07-24
"HEAT-Control",2023-09-09,5.433,172.7,2023-07-24
"HEAT-Control",2023-09-10,5.467,182,2023-07-24
"HEAT-Control",2023-09-11,5.467,187,2023-07-24
"HEAT-Effluent",2023-09-05,4,118,2023-07-24
"HEAT-Effluent",2023-09-07,5.4,158,2023-07-24
"HEAT-Effluent",2023-09-08,5.55,168,2023-07-24
"HEAT-Effluent",2023-09-09,5.6,176.5,2023-07-24
"HEAT-Effluent",2023-09-10,5.7,185,2023-07-24
"HEAT-Effluent",2023-09-11,5.7,189.5,2023-07-24
"HEAT-Guano",2023-09-05,4.033,113.7,2023-07-24
"HEAT-Guano",2023-09-07,5.633,156.7,2023-07-24
"HEAT-Guano",2023-09-08,5.767,171.3,2023-07-24
"HEAT-Guano",2023-09-09,5.867,185,2023-07-24
"HEAT-Guano",2023-09-10,5.967,199,2023-07-24
"HEAT-Guano",2023-09-11,6,206.7,2023-07-24
"HEAT-Inorganic",2023-09-05,4.033,118.3,2023-07-24
"HEAT-Inorganic",2023-09-07,5.567,160,2023-07-24
"HEAT-Inorganic",2023-09-08,5.633,173.3,2023-07-24
"HEAT-Inorganic",2023-09-09,5.667,184.3,2023-07-24
"HEAT-Inorganic",2023-09-10,5.7,195.3,2023-07-24
"HEAT-Inorganic",2023-09-11,5.7,202,2023-07-24
